year,county,num_firms,num_establishments,num_employees,establishments_born,establishments_exited,jobs_created,jobs_destroyed,net_jobs_created,net_job_creation_rate,employees_per_firm,net_establishment_change,job_churn
1978,"Lonoke County, Arkansas",476.0,494.0,,88.0,48.0,,746.0,448.0,7.412,,40.0,
1978,"Lonoke County, Arkansas",68.0,70.0,442.0,,14.0,125.0,98.0,27.0,6.228,6.5,,223.0
1978,"Lonoke County, Arkansas",330.0,342.0,,6.0,34.0,711.0,646.0,65.0,1.197,,-28.0,1357.0
1978,"Lonoke County, Arkansas",,,,,,,,,X,,,
1978,"Lonoke County, Arkansas",476.0,494.0,,88.0,48.0,,746.0,448.0,7.412,,40.0,
1978,"Lonoke County, Arkansas",,,,,,,,,X,,,
1978,"Lonoke County, Arkansas",80.0,82.0,361.0,82.0,,361.0,,361.0,200.000,4.51,,
1979,"Lonoke County, Arkansas",117.0,120.0,667.0,0.0,33.0,109.0,238.0,,−17.503,5.7,-33.0,347.0
1979,"Lonoke County, Arkansas",296.0,307.0,,,37.0,299.0,725.0,,−8.141,,,1024.0
1979,"Lonoke County, Arkansas",,,,,,,,,X,,,
1979,"Lonoke County, Arkansas",,,,,,,,,X,,,
1979,"Lonoke County, Arkansas",486.0,505.0,,80.0,70.0,799.0,966.0,,−2.708,,10.0,1765.0
1979,"Lonoke County, Arkansas",486.0,505.0,,80.0,70.0,799.0,966.0,,−2.708,,10.0,1765.0
1979,"Lonoke County, Arkansas",78.0,78.0,393.0,78.0,,393.0,,393.0,200.000,5.04,,
1980,"Lonoke County, Arkansas",,,,,,,,,X,,,
1980,"Lonoke County, Arkansas",,,,,,,,,X,,,
1980,"Lonoke County, Arkansas",70.0,70.0,281.0,70.0,,281.0,,281.0,200.000,4.01,,
1980,"Lonoke County, Arkansas",163.0,168.0,972.0,,32.0,153.0,241.0,,−8.661,5.96,,394.0
1980,"Lonoke County, Arkansas",263.0,274.0,,,34.0,204.0,413.0,,−4.258,,,617.0
1980,"Lonoke County, Arkansas",492.0,512.0,,74.0,66.0,639.0,654.0,,−0.247,,8.0,1293.0
1980,"Lonoke County, Arkansas",492.0,512.0,,74.0,66.0,639.0,654.0,,−0.247,,8.0,1293.0
1981,"Lonoke County, Arkansas",475.0,493.0,,68.0,85.0,635.0,761.0,,−2.108,,-17.0,1396.0
1981,"Lonoke County, Arkansas",,,,,,,,,X,,,
1981,"Lonoke County, Arkansas",,,,,,,,,X,,,
1981,"Lonoke County, Arkansas",249.0,259.0,,4.0,19.0,234.0,375.0,,−2.979,,-15.0,609.0
1981,"Lonoke County, Arkansas",475.0,493.0,,68.0,85.0,635.0,761.0,,−2.108,,-17.0,1396.0
1981,"Lonoke County, Arkansas",172.0,177.0,979.0,7.0,66.0,126.0,384.0,,−23.285,5.69,-59.0,510.0
1981,"Lonoke County, Arkansas",57.0,57.0,273.0,57.0,,273.0,,273.0,200.000,4.79,,
1982,"Lonoke County, Arkansas",,,,,,,,,X,,,
1982,"Lonoke County, Arkansas",,,,,,,,,X,,,
1982,"Lonoke County, Arkansas",184.0,189.0,,5.0,51.0,221.0,278.0,,−4.634,,-46.0,499.0
1982,"Lonoke County, Arkansas",226.0,236.0,,4.0,27.0,232.0,497.0,,−5.840,,-23.0,729.0
1982,"Lonoke County, Arkansas",447.0,474.0,,58.0,78.0,725.0,775.0,,−0.847,,-20.0,1500.0
1982,"Lonoke County, Arkansas",46.0,49.0,264.0,49.0,,264.0,,264.0,200.000,5.74,,
1982,"Lonoke County, Arkansas",447.0,474.0,,58.0,78.0,725.0,775.0,,−0.847,,-20.0,1500.0
1983,"Lonoke County, Arkansas",71.0,71.0,285.0,71.0,,285.0,,285.0,200.000,4.01,,
1983,"Lonoke County, Arkansas",171.0,182.0,,10.0,30.0,177.0,302.0,,−11.226,,-20.0,479.0
1983,"Lonoke County, Arkansas",210.0,218.0,,5.0,23.0,336.0,457.0,,−2.790,,-18.0,793.0
1983,"Lonoke County, Arkansas",476.0,502.0,,87.0,59.0,808.0,797.0,11.0,0.187,,28.0,1605.0
1983,"Lonoke County, Arkansas",31.0,31.0,278.0,,6.0,22.0,38.0,,−5.585,8.97,,60.0
1983,"Lonoke County, Arkansas",,,,,,,,,X,,,
1983,"Lonoke County, Arkansas",476.0,502.0,,87.0,59.0,808.0,797.0,11.0,0.187,,28.0,1605.0
1984,"Lonoke County, Arkansas",62.0,62.0,265.0,62.0,,265.0,,265.0,200.000,4.27,,
1984,"Lonoke County, Arkansas",,,,,,,,,X,,,
1984,"Lonoke County, Arkansas",484.0,510.0,,75.0,68.0,830.0,670.0,160.0,2.677,,7.0,1500.0
1984,"Lonoke County, Arkansas",484.0,510.0,,75.0,68.0,830.0,670.0,160.0,2.677,,7.0,1500.0
1984,"Lonoke County, Arkansas",178.0,185.0,,5.0,40.0,253.0,180.0,73.0,6.093,,-35.0,433.0
1984,"Lonoke County, Arkansas",60.0,62.0,497.0,4.0,6.0,72.0,40.0,32.0,6.681,8.28,-2.0,112.0
1984,"Lonoke County, Arkansas",194.0,201.0,,4.0,22.0,250.0,451.0,,−4.824,,-18.0,701.0
1985,"Lonoke County, Arkansas",175.0,181.0,,,22.0,592.0,414.0,178.0,4.281,,,1006.0
1985,"Lonoke County, Arkansas",483.0,508.0,,86.0,88.0,,936.0,365.0,5.854,,-2.0,
1985,"Lonoke County, Arkansas",,,,,,,,,X,,,
1985,"Lonoke County, Arkansas",483.0,508.0,,86.0,88.0,,936.0,365.0,5.854,,-2.0,
1985,"Lonoke County, Arkansas",90.0,94.0,728.0,4.0,12.0,59.0,93.0,,−4.555,8.09,-8.0,152.0
1985,"Lonoke County, Arkansas",74.0,75.0,539.0,75.0,,539.0,,539.0,200.000,7.28,,
1985,"Lonoke County, Arkansas",155.0,158.0,892.0,5.0,54.0,109.0,434.0,,−30.631,5.75,-49.0,543.0
1986,"Lonoke County, Arkansas",155.0,160.0,,,49.0,232.0,340.0,,−8.863,,,572.0
1986,"Lonoke County, Arkansas",104.0,108.0,797.0,3.0,15.0,117.0,185.0,,−8.144,7.66,-12.0,302.0
1986,"Lonoke County, Arkansas",497.0,523.0,,87.0,72.0,995.0,886.0,109.0,1.694,,15.0,1881.0
1986,"Lonoke County, Arkansas",77.0,77.0,428.0,77.0,,428.0,,428.0,200.000,5.56,,
1986,"Lonoke County, Arkansas",,,,,,,,,X,,,
1986,"Lonoke County, Arkansas",172.0,178.0,,5.0,8.0,215.0,358.0,,−3.430,,-3.0,573.0
1986,"Lonoke County, Arkansas",497.0,523.0,,87.0,72.0,995.0,886.0,109.0,1.694,,15.0,1881.0
1987,"Lonoke County, Arkansas",114.0,118.0,946.0,,16.0,127.0,173.0,,−4.733,8.3,,300.0
1987,"Lonoke County, Arkansas",491.0,520.0,,85.0,89.0,966.0,,,−9.594,,-4.0,
1987,"Lonoke County, Arkansas",157.0,164.0,,4.0,18.0,178.0,,,−22.673,,-14.0,
1987,"Lonoke County, Arkansas",163.0,166.0,,7.0,55.0,174.0,375.0,,−15.551,,-48.0,549.0
1987,"Lonoke County, Arkansas",70.0,72.0,494.0,72.0,,494.0,,494.0,200.000,7.06,,
1987,"Lonoke County, Arkansas",,,,,,,,,X,,,
1987,"Lonoke County, Arkansas",491.0,520.0,,85.0,89.0,966.0,,,−9.594,,-4.0,
1988,"Lonoke County, Arkansas",114.0,120.0,940.0,8.0,8.0,144.0,92.0,52.0,5.686,8.25,0.0,236.0
1988,"Lonoke County, Arkansas",506.0,540.0,,77.0,57.0,997.0,557.0,440.0,7.213,,20.0,1554.0
1988,"Lonoke County, Arkansas",53.0,58.0,242.0,58.0,,242.0,,242.0,200.000,4.57,,
1988,"Lonoke County, Arkansas",17.0,17.0,239.0,0.0,,12.0,6.0,6.0,2.532,14.06,,18.0
1988,"Lonoke County, Arkansas",506.0,540.0,,77.0,57.0,997.0,557.0,440.0,7.213,,20.0,1554.0
